seed,enhanced,basic,ablation_imv
42,FullBiGRU,FullBiGRU,0.0
42,FullBiGRU,UniGRU,0.10755828701553218
42,FullBiGRU,OneLayer,0.09830784920513513
42,FullBiGRU,NoAttention,0.04114518301289293
42,FullBiGRU,MeanPoolMLP,0.40107568716930564
42,UniGRU,FullBiGRU,-0.0971129811193619
42,UniGRU,UniGRU,0.0
42,UniGRU,OneLayer,-0.00835210021797012
42,UniGRU,NoAttention,-0.05996352948755272
42,UniGRU,MeanPoolMLP,0.26501305041443585
42,OneLayer,FullBiGRU,-0.08950846456781883
42,OneLayer,UniGRU,0.008422445325408305
42,OneLayer,OneLayer,0.0
42,OneLayer,NoAttention,-0.052046123710771844
42,OneLayer,MeanPoolMLP,0.2756675536674794
42,NoAttention,FullBiGRU,-0.03951915994446224
42,NoAttention,UniGRU,0.06378851392315074
42,NoAttention,OneLayer,0.05490364564413908
42,NoAttention,NoAttention,0.0
42,NoAttention,MeanPoolMLP,0.3457063529937645
42,MeanPoolMLP,FullBiGRU,-0.2862626843376519
42,MeanPoolMLP,UniGRU,-0.20949432128594556
42,MeanPoolMLP,OneLayer,-0.21609670393743982
42,MeanPoolMLP,NoAttention,-0.25689583186159365
42,MeanPoolMLP,MeanPoolMLP,0.0
43,FullBiGRU,FullBiGRU,0.0
43,FullBiGRU,UniGRU,0.000464262189101186
43,FullBiGRU,OneLayer,-0.011515958812425066
43,FullBiGRU,NoAttention,-0.011769779549176454
43,FullBiGRU,MeanPoolMLP,0.3851290312507284
43,UniGRU,FullBiGRU,-0.00046404674974130584
43,UniGRU,UniGRU,0.0
43,UniGRU,OneLayer,-0.01197466161890931
43,UniGRU,NoAttention,-0.012228364570972794
43,UniGRU,MeanPoolMLP,0.38448626662580415
43,OneLayer,FullBiGRU,0.011650121127488993
43,OneLayer,UniGRU,0.01211979202732812
43,OneLayer,OneLayer,0.0
43,OneLayer,NoAttention,-0.0002567777790792103
43,OneLayer,MeanPoolMLP,0.40126595224200085
43,NoAttention,FullBiGRU,0.011909957118906123
43,NoAttention,UniGRU,0.012379748650771434
43,NoAttention,OneLayer,0.0002568437308419863
43,NoAttention,NoAttention,0.0
43,NoAttention,MeanPoolMLP,0.4016258586170765
43,MeanPoolMLP,FullBiGRU,-0.27804559904644327
43,MeanPoolMLP,UniGRU,-0.2777104229158253
43,MeanPoolMLP,OneLayer,-0.2863595961922734
43,MeanPoolMLP,NoAttention,-0.28654284319022433
43,MeanPoolMLP,MeanPoolMLP,0.0
44,FullBiGRU,FullBiGRU,0.0
44,FullBiGRU,UniGRU,0.008185614965521526
44,FullBiGRU,OneLayer,-0.008857628849104732
44,FullBiGRU,NoAttention,-0.058297587192231465
44,FullBiGRU,MeanPoolMLP,0.3265416467823217
44,UniGRU,FullBiGRU,-0.008119154691372444
44,UniGRU,UniGRU,0.0
44,UniGRU,OneLayer,-0.016904867081652532
44,UniGRU,NoAttention,-0.06594341475505641
44,UniGRU,MeanPoolMLP,0.31577124994754807
44,OneLayer,FullBiGRU,0.008936787596739939
44,OneLayer,UniGRU,0.017195555664557025
44,OneLayer,OneLayer,0.0
44,OneLayer,NoAttention,-0.04988179274963092
44,OneLayer,MeanPoolMLP,0.33839666771784493
44,NoAttention,FullBiGRU,0.06190659214561432
44,NoAttention,UniGRU,0.07059895063826743
44,NoAttention,OneLayer,0.052500617679970836
44,NoAttention,NoAttention,0.0
44,NoAttention,MeanPoolMLP,0.4086633194738465
44,MeanPoolMLP,FullBiGRU,-0.2461601168530108
44,MeanPoolMLP,UniGRU,-0.2399894738239158
44,MeanPoolMLP,OneLayer,-0.2528373507495793
44,MeanPoolMLP,NoAttention,-0.290107163169754
44,MeanPoolMLP,MeanPoolMLP,0.0
45,FullBiGRU,FullBiGRU,0.0
45,FullBiGRU,UniGRU,0.0010955516454835166
45,FullBiGRU,OneLayer,-0.002181145819987967
45,FullBiGRU,NoAttention,-0.006021026656760739
45,FullBiGRU,MeanPoolMLP,0.3687663403874232
45,UniGRU,FullBiGRU,-0.0010943527255542962
45,UniGRU,UniGRU,0.0
45,UniGRU,OneLayer,-0.003273111602669328
45,UniGRU,NoAttention,-0.007108790255382574
45,UniGRU,MeanPoolMLP,0.36726842721217323
45,OneLayer,FullBiGRU,0.0021859136163350913
45,OneLayer,UniGRU,0.0032838600430778685
45,OneLayer,OneLayer,0.0
45,OneLayer,NoAttention,-0.0038482744845789777
45,OneLayer,MeanPoolMLP,0.3717583453684572
45,NoAttention,FullBiGRU,0.0060574990198324526
