seed,variant,imv_vs_null
42,FullBiGRU,0.9959618293037287
42,UniGRU,0.8021280258595886
42,OneLayer,0.817306350626777
42,NoAttention,0.9170830945284332
42,MeanPoolMLP,0.4245924382117532
43,FullBiGRU,0.926134713019215
43,UniGRU,0.9252408964660745
43,OneLayer,0.9485744157337501
43,NoAttention,0.9490748948565104
43,MeanPoolMLP,0.39058143289363834
44,FullBiGRU,0.8609748521626719
44,UniGRU,0.8458653094612092
44,OneLayer,0.8776059891393242
44,NoAttention,0.9761814633287513
44,MeanPoolMLP,0.40287706509379406
45,FullBiGRU,0.9591313590572692
45,UniGRU,0.9569873783147662
45,OneLayer,0.9634138509712216
45,NoAttention,0.9709987953444819
45,MeanPoolMLP,0.4313117595386997
46,FullBiGRU,0.9197680510735606
46,UniGRU,0.8512753333815952
46,OneLayer,0.9190923341648685
46,NoAttention,0.9532273321731262
46,MeanPoolMLP,0.4577841474947473
47,FullBiGRU,0.8980671230677824
47,UniGRU,0.8922151164182015
47,OneLayer,0.8690249696189021
47,NoAttention,0.9240663590009799
47,MeanPoolMLP,0.38838949339792106
48,FullBiGRU,0.983135718283856
48,UniGRU,0.972250453035647
48,OneLayer,0.8948749939149607
48,NoAttention,0.8805999216214278
48,MeanPoolMLP,0.4076424638412588
49,FullBiGRU,0.8518902647183872
49,UniGRU,0.8986535825822577
49,OneLayer,0.9346391081292658
49,NoAttention,0.9034970977208729
49,MeanPoolMLP,0.4083249794136976
50,FullBiGRU,0.9337372136983115
50,UniGRU,0.9616763454049684
50,OneLayer,0.8919165806567166
50,NoAttention,0.915020325720048
50,MeanPoolMLP,0.3707377335317221
51,FullBiGRU,0.8590579675256405
51,UniGRU,0.8644338090836361
51,OneLayer,0.9746839749144542
51,NoAttention,0.909166862175002
51,MeanPoolMLP,0.43117989609672347
