seed,variant,geometric_mean_likelihood,information_deficit_nats,accuracy,parameters,minutes,cached
42,FullBiGRU,0.9855595838833763,0.6786014869044353,0.9932659932659933,111875,1.2997389264998978,False
42,UniGRU,0.724162989350886,0.3704083920398775,0.9472502805836139,43715,0.6646100268335431,False
42,OneLayer,0.7366496602452597,0.3875043215151006,0.9607182940516273,37379,0.6200834016502389,False
42,NoAttention,0.8415146892685847,0.5205953711092963,0.9640852974186308,103554,1.2408675197167516,False
42,MeanPoolMLP,0.5487661630605061,0.09306431985780392,0.7373737373737373,770,0.009531456316714563,False
43,FullBiGRU,0.8537897644502768,0.5350768876010412,0.9730639730639731,111875,1.3165767767165866,False
43,UniGRU,0.8525487588268399,0.5336223042047,0.9629629629629629,43715,0.5362118050167434,False
43,OneLayer,0.8873570152302892,0.5736393003481594,0.9741863075196409,37379,0.5128534829498677,False
43,NoAttention,0.8881655916311411,0.574550104247388,0.9640852974186308,103554,1.247125265516661,False
43,MeanPoolMLP,0.540748049612713,0.07834535958563327,0.7418630751964085,770,0.009577372383258382,False
44,FullBiGRU,0.7769523171574206,0.4407708821826028,0.9607182940516273,111875,1.3151263719165096,False
44,UniGRU,0.7621989105153122,0.4215994606217842,0.9506172839506173,43715,0.5127880786666841,False
44,OneLayer,0.7943361844914616,0.4628986793743803,0.9674523007856342,37379,0.5983108306332724,False
44,NoAttention,0.9374411009971542,0.6285458318457278,0.9775533108866442,103554,1.2778074628331524,False
44,MeanPoolMLP,0.5435462361609608,0.0835066756540512,0.734006734006734,770,0.004468183583230712,False
45,FullBiGRU,0.9050866154668333,0.5934225483962032,0.9741863075196409,111875,1.2600626702333102,False
45,UniGRU,0.9013650931678642,0.5893022859545701,0.9741863075196409,43715,0.6801713265165745,False
45,OneLayer,0.9127259798244025,0.6018276054971056,0.9685746352413019,37379,0.6169810269500886,False
45,NoAttention,0.9270162346000866,0.6173629800432638,0.9753086419753086,103554,1.29719935426668,False
45,MeanPoolMLP,0.5504553056783248,0.09613766584933853,0.7373737373737373,770,0.005592832483428841,False
46,FullBiGRU,0.8450896641350109,0.5248346347079452,0.9741863075196409,111875,1.3513536130165449,False
46,UniGRU,0.767375128789325,0.42836766915646945,0.9506172839506173,43715,0.6393769476831949,False
46,OneLayer,0.8441848590876145,0.5237633995457697,0.9685746352413019,37379,0.5565551899999264,False
46,NoAttention,0.8949919878578831,0.5822066676984962,0.9708193041526375,103554,1.240813254100067,False
46,MeanPoolMLP,0.5574638073174334,0.10878948319472805,0.745230078563412,770,0.009456790883268696,False
47,FullBiGRU,0.8176253208710001,0.491796090301854,0.9708193041526375,111875,1.4296909915998792,False
47,UniGRU,0.8107296860317551,0.4833265906779828,0.9652076318742986,43715,0.6387522643165237,False
47,OneLayer,0.7852077520749501,0.45134023667074497,0.9696969696969697,37379,0.6020633393500854,False
47,NoAttention,0.8509279057168784,0.53171930942603,0.9652076318742986,103554,1.0339858528333328,False
47,MeanPoolMLP,0.5402608868066869,0.0774440481855275,0.7418630751964085,770,0.004461010999996991,False
48,FullBiGRU,0.9524993029945292,0.6444812768141228,0.9775533108866442,111875,1.1833548941666474,False
48,UniGRU,0.929480033997842,0.6200172281404908,0.9753086419753086,43715,0.5909200292000605,False
48,OneLayer,0.8138393039840391,0.48715483283836936,0.9708193041526375,37379,0.4888487080167882,False
48,NoAttention,0.7976053355698779,0.4670058097340022,0.9652076318742986,103554,0.739237208150007,False
48,MeanPoolMLP,0.5446609820604438,0.08555545142165202,0.7384960718294051,770,0.003586603550017268,False
49,FullBiGRU,0.7679708218818226,0.4291436416623764,0.9640852974186308,111875,1.193277727083235,False
49,UniGRU,0.8183274516616497,0.4926544657336507,0.9674523007856342,43715,0.5980427799501437,False
49,OneLayer,0.8659400280629894,0.549207556082871,0.9753086419753086,37379,0.4590423939000175,False
49,NoAttention,0.8242064760429505,0.49981297781995343,0.9629629629629629,103554,0.6007573853666448,False
49,MeanPoolMLP,0.5448220397259008,0.08585111030464443,0.7407407407407407,770,0.004017384333322601,False
50,FullBiGRU,0.8646209124217888,0.5476830609139124,0.9764309764309764,111875,0.8356344772667702,False
50,UniGRU,0.9095921893885853,0.5983882571133549,0.9797979797979798,43715,0.31898223236664003,False
50,OneLayer,0.8103831822301465,0.48289910186622964,0.9640852974186308,37379,0.2815835087831753,False
50,NoAttention,0.838804327275311,0.5173693594803336,0.9696969696969697,103554,0.6901083392333628,False
50,MeanPoolMLP,0.5364638365419898,0.07039105511755178,0.745230078563412,770,0.004350030666682869,False
51,FullBiGRU,0.775028389133111,0.4382915613997495,0.9652076318742986,111875,0.9805912993833772,False
51,UniGRU,0.7804642203461863,0.445280798517352,0.9607182940516273,43715,0.38656079126667464,False
51,OneLayer,0.9343667043323423,0.6252608798109238,0.9797979797979798,37379,0.3811693250667304,False
51,NoAttention,0.8312773692761131,0.5083554184507897,0.9696969696969697,103554,0.7132822584331734,False
51,MeanPoolMLP,0.5504218141137371,0.09607682061239817,0.734006734006734,770,0.004117241000009623,False
