seed,variant,imv_vs_null
42,FullFeatures,0.8122451792791834
42,NoGeometry,0.7745206429707885
42,NoConcentration,0.7617320713483726
42,NoMoments,0.8181114269560583
42,NoOrientation,0.7134444024713023
43,FullFeatures,0.8187102265515047
43,NoGeometry,0.7800814981219426
43,NoConcentration,0.7552065851695606
43,NoMoments,0.8164868466687758
43,NoOrientation,0.6961803837037577
44,FullFeatures,0.8162577791179548
44,NoGeometry,0.7782124541106692
44,NoConcentration,0.7634674212423123
44,NoMoments,0.8176972000543858
44,NoOrientation,0.698615443938237
45,FullFeatures,0.8101594640794774
45,NoGeometry,0.7665835763160445
45,NoConcentration,0.7526440655077711
45,NoMoments,0.8053128759848036
45,NoOrientation,0.6940788330931293
46,FullFeatures,0.8163354000060914
46,NoGeometry,0.7813612227192395
46,NoConcentration,0.7634871314565235
46,NoMoments,0.8190815551083181
46,NoOrientation,0.7050772352383672
47,FullFeatures,0.8135932137786228
47,NoGeometry,0.7676480261295278
47,NoConcentration,0.7477439811971138
47,NoMoments,0.8098991519256862
47,NoOrientation,0.6805653931051396
48,FullFeatures,0.8054151939475169
48,NoGeometry,0.7703344734604423
48,NoConcentration,0.7527311032048662
48,NoMoments,0.8096582211301715
48,NoOrientation,0.7032940602763131
49,FullFeatures,0.8103120168175191
49,NoGeometry,0.7723918906583118
49,NoConcentration,0.7500306002746133
49,NoMoments,0.8123747778681354
49,NoOrientation,0.6979535672873363
50,FullFeatures,0.828135701691167
50,NoGeometry,0.7846612583147263
50,NoConcentration,0.7653975514451812
50,NoMoments,0.8207429581152008
50,NoOrientation,0.7121357617668076
51,FullFeatures,0.8238330130810703
51,NoGeometry,0.7807285423113579
51,NoConcentration,0.7764913926266808
51,NoMoments,0.8212063816692634
51,NoOrientation,0.7112429023562765
