seed,enhanced,basic,ablation_imv
42,FullCNN,FullCNN,0.0
42,FullCNN,NoConv2,0.014434205293044726
42,FullCNN,NoHidden,0.004379903611520248
42,FullCNN,NoDropout,0.002163459051357766
42,FullCNN,Linear,0.16095046912035235
42,NoConv2,FullCNN,-0.014228823533089604
42,NoConv2,NoConv2,0.0
42,NoConv2,NoHidden,-0.009911240797149619
42,NoConv2,NoDropout,-0.012096147958794672
42,NoConv2,Linear,0.14443150976458127
42,NoHidden,FullCNN,-0.004360803711594703
42,NoHidden,NoConv2,0.010010456845434192
42,NoHidden,NoHidden,0.0
42,NoHidden,NoDropout,-0.0022067790804979814
42,NoHidden,Linear,0.1558877920056347
42,NoDropout,FullCNN,-0.0021587886006197874
42,NoDropout,NoConv2,0.012244256294579307
42,NoDropout,NoHidden,0.0022116597249120973
42,NoDropout,NoDropout,0.0
42,NoDropout,Linear,0.15844422248173115
42,Linear,FullCNN,-0.13863680958094957
42,Linear,NoConv2,-0.126203716458569
42,Linear,NoHidden,-0.13486412183240257
42,Linear,NoDropout,-0.13677328559013105
42,Linear,Linear,0.0
43,FullCNN,FullCNN,0.0
43,FullCNN,NoConv2,0.03371404052635099
43,FullCNN,NoHidden,0.005988962474513751
43,FullCNN,NoDropout,0.0013695302877763283
43,FullCNN,Linear,0.22031178910395932
43,NoConv2,FullCNN,-0.03261447480115906
43,NoConv2,NoConv2,0.0
43,NoConv2,NoHidden,-0.02682083919235543
43,NoConv2,NoDropout,-0.03128961102444284
43,NoConv2,Linear,0.1805119610086709
43,NoHidden,FullCNN,-0.0059533083343004155
43,NoHidden,NoConv2,0.02756002211360211
43,NoHidden,NoHidden,0.0
43,NoHidden,NoDropout,-0.004591931282600383
43,NoHidden,Linear,0.21304689675944166
43,NoDropout,FullCNN,-0.001367657239763176
43,NoDropout,NoConv2,0.032300274034980286
43,NoDropout,NoHidden,0.0046131143868636355
43,NoDropout,NoDropout,0.0
43,NoDropout,Linear,0.21864282085082293
43,Linear,FullCNN,-0.18053729470705848
43,Linear,NoConv2,-0.15290989585097903
43,Linear,NoHidden,-0.17562956331579554
43,Linear,NoDropout,-0.1794150157124567
43,Linear,Linear,0.0
44,FullCNN,FullCNN,0.0
44,FullCNN,NoConv2,0.011961567291884578
44,FullCNN,NoHidden,0.004948409502329203
44,FullCNN,NoDropout,-0.00036722594741090824
44,FullCNN,Linear,0.15891132536033184
