seed,variant,imv_vs_null
42,FullCNN,0.9868942715771938
42,NoConv2,0.9586231036080153
42,NoHidden,0.9782298156631537
42,NoDropout,0.9826049868730762
42,Linear,0.7114375887910669
43,FullCNN,0.9813049606816315
43,NoConv2,0.916685739968069
43,NoHidden,0.9695096413464148
43,NoDropout,0.9785952146079766
43,Linear,0.6236055230904949
44,FullCNN,0.9866234429318117
44,NoConv2,0.9631411973956923
44,NoHidden,0.9768412230391288
44,NoDropout,0.9873532506121079
44,Linear,0.7142152289469821
45,FullCNN,0.9849326329690631
45,NoConv2,0.9476200863360784
45,NoHidden,0.979408548890782
45,NoDropout,0.9855277977358305
45,Linear,0.8336960992246443
46,FullCNN,0.9871022847841453
46,NoConv2,0.9637358130816887
46,NoHidden,0.9649217196443121
46,NoDropout,0.9863609554940374
46,Linear,0.8341939545496262
47,FullCNN,0.8973641982945304
47,NoConv2,0.9605115675008602
47,NoHidden,0.9765686263307682
47,NoDropout,0.9716147609875279
47,Linear,0.6639429820269045
48,FullCNN,0.9826190308692511
48,NoConv2,0.9596592667311905
48,NoHidden,0.9710741384380586
48,NoDropout,0.982768618211747
48,Linear,0.8374197774990153
49,FullCNN,0.9722802475782653
49,NoConv2,0.9605966003469346
49,NoHidden,0.9776515345058705
49,NoDropout,0.9646878774079464
49,Linear,0.8364366250200626
50,FullCNN,0.9813793335352667
50,NoConv2,0.9560497952708169
50,NoHidden,0.9768455601301087
50,NoDropout,0.9810000084033796
50,Linear,0.7314521145672388
51,FullCNN,0.9882775495089775
51,NoConv2,0.9693403808124772
51,NoHidden,0.9762414506757462
51,NoDropout,0.9834921681855717
51,Linear,0.7278435788331503
