seed,variant,geometric_mean_likelihood,information_deficit_nats,accuracy,parameters,minutes,cached
42,FullCNN,0.9612909239421612,0.6536689951633782,0.9882,1198850,1.0152070626834757,False
42,NoConv2,0.9041984008426788,0.592440707848692,0.9629,692930,0.29625198258315016,False
42,NoHidden,0.9417361107940003,0.6331169997470686,0.9792,37250,0.9370859660501689,False
42,NoDropout,0.9512990600301152,0.6432203836998704,0.9816,1198850,0.95951675026663,False
42,Linear,0.6618875257246702,0.2804875423620337,0.8223,1570,0.015576959916749426,False
43,FullCNN,0.9483977200398124,0.640165851759223,0.9798,1198850,1.021271104950089,False
43,NoConv2,0.8409901734030278,0.5199718770627877,0.9326,692930,0.29750912754995323,False
43,NoHidden,0.9241263620066457,0.6142407192877704,0.9723,37250,0.953242345849867,False
43,NoDropout,0.9425137658844055,0.6339424265062088,0.9795,1198850,0.9464446445834862,False
43,Linear,0.6165607890532112,0.2095488228138402,0.8223,1570,0.006960632700065616,False
44,FullCNN,0.9606388572139765,0.652990440973108,0.985,1198850,1.0159769863001809,False
44,NoConv2,0.9122310130941974,0.6012851634074975,0.9674,692930,0.29567165821645175,False
44,NoHidden,0.9388128550913641,0.6300080585706033,0.9771,37250,0.948980627933391,False
44,NoDropout,0.962403226442383,0.6548254187288994,0.9855,1198850,0.9249578556332078,False
44,Linear,0.6635311624115208,0.2829677209563187,0.8283,1570,0.007112340216554003,False
45,FullCNN,0.9566356556202222,0.6488145054099737,0.9843,1198850,1.0376597626665898,False
45,NoConv2,0.8858233549646873,0.571909458676304,0.9561,692930,0.3049346115833032,False
45,NoHidden,0.944257802411621,0.635791126214468,0.9804,37250,0.952246653183344,False
45,NoDropout,0.9580318726894294,0.6502729490259532,0.9855,1198850,0.9378314461665771,False
45,Linear,0.7509615474983733,0.4067463502978982,0.8822,1570,0.015999197850032943,False
46,FullCNN,0.9617938888522158,0.6541920765357405,0.9865,1198850,1.0171150805166689,False
46,NoConv2,0.9133120231194585,0.602469479668653,0.9687,692930,0.3115144494998579,False
46,NoHidden,0.9154854719042659,0.6048463965378038,0.9682,37250,0.9837929010500375,False
46,NoDropout,0.9600098247532245,0.6523354201052641,0.9845,1198850,0.9504156720831816,False
46,Linear,0.7514106823272028,0.40734425118197076,0.8809,1570,0.01533811993334287,False
47,FullCNN,0.8167864597827273,0.4907695911394504,0.9218,1198850,1.0047244102335147,False
47,NoConv2,0.9075179142118657,0.5961052077003437,0.9681,692930,0.30033283239996916,False
47,NoHidden,0.9382447690483694,0.6294027643558348,0.9795,37250,0.9815325702998962,False
47,NoDropout,0.9282246538240725,0.618665688928586,0.9741,1198850,0.9475224892167413,False
47,Linear,0.6358794056363236,0.24040083315959962,0.8143,1570,0.016062024833324053,False
48,FullCNN,0.9513306997415534,0.6432536426261314,0.9846,1198850,0.8473060921666425,False
48,NoConv2,0.9060131930062949,0.5944457693318679,0.9684,692930,0.2507433101665811,False
48,NoHidden,0.9271636274199476,0.6175219644257292,0.9735,37250,0.8166508398166722,False
48,NoDropout,0.951668109154224,0.6436082507474071,0.9835,1198850,0.7599589473000379,False
48,Linear,0.7543423120574239,0.41123816133243796,0.8931,1570,0.005740563016782592,False
49,FullCNN,0.929539081810773,0.6200807539132478,0.9739,1198850,0.843204294333312,False
49,NoConv2,0.907668639463775,0.596271279063037,0.9673,692930,0.2448784214332894,False
49,NoHidden,0.9405126433223926,0.631816993420871,0.9794,37250,0.8058412779665862,False
49,NoDropout,0.9150550341971432,0.604376111708136,0.9673,1198850,0.7030653233499228,False
49,Linear,0.7534448538971186,0.4100477303663786,0.8877,1570,0.012740957200003322,False
50,FullCNN,0.9485622665899568,0.6403393362309218,0.9823,1198850,0.8525041034333601,False
50,NoConv2,0.899758036585632,0.587517780517766,0.9632,692930,0.23136795448323635,False
50,NoHidden,0.9388219085492117,0.6300177020412323,0.9783,37250,0.846814371333312,False
50,NoDropout,0.9477247993076319,0.6394560655997681,0.9817,1198850,0.7394889834499433,False
50,Linear,0.6740632826669112,0.2987158992798103,0.852,1570,0.00507042326668549,False
51,FullCNN,0.9646719575779107,0.6571800047902099,0.9877,1198850,0.8122451554498791,False
51,NoConv2,0.9238006539766138,0.6138882074941903,0.9709,692930,0.231331407433269,False
51,NoHidden,0.9375653802053483,0.6286783958764359,0.9764,37250,0.7572869260831794,False
51,NoDropout,0.9533107525270511,0.6453328302826394,0.9822,1198850,0.6234801420333194,False
51,Linear,0.6718098625038593,0.29536725936252894,0.8291,1570,0.006559117733316574,False
