Methods,unacc,acc,good,vgood
Multi-IMV (LR),0.15±0.00,0.05±0.00,0.00±0.00,0.02±0.00
Brier Loss (LR),0.17±0.00,0.16±0.00,0.04±0.00,0.03±0.00
Accuracy (LR),72.16±0.31,74.30±0.34,96.01±0.00,95.48±0.08
Precision (LR),74.51±0.19,34.99±1.34,0.00±0.00,33.91±1.74
Recall (LR),91.58±0.33,18.23±0.78,0.00±0.00,21.23±1.21
Multi-IMV (XGB),0.40±0.00,0.25±0.00,0.03±0.00,0.04±0.00
Brier Loss (XGB),0.02±0.00,0.03±0.00,0.01±0.00,0.01±0.00
Accuracy (XGB),97.84±0.20,97.06±0.24,98.87±0.20,99.54±0.14
Precision (XGB),99.32±0.20,91.93±0.89,83.67±1.77,91.85±2.50
Recall (XGB),97.58±0.21,95.13±0.55,89.13±4.33,96.46±1.93
Multi-IMV (LGBM),0.42±0.00,0.27±0.00,0.04±0.00,0.04±0.00
Brier Loss (LGBM),0.01±0.00,0.02±0.00,0.01±0.00,0.00±0.00
Accuracy (LGBM),98.67±0.20,98.13±0.14,99.18±0.19,99.73±0.10
Precision (LGBM),99.84±0.17,94.67±0.64,85.90±2.14,95.10±1.66
Recall (LGBM),98.26±0.21,97.06±0.61,95.22±3.13,98.00±1.63
