model,class,class_name,multi_imv_mean,multi_imv_std,brier_loss_mean,brier_loss_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std
lightgbm,0,BARBUNYA,0.10123831107317431,9.17524762969303e-05,0.00952888465608124,0.00016521995765561603,0.9874733671295276,0.0003997949628319207,0.9460100973122845,0.002144037244152904,0.92375189107413,0.003379095424659776
lightgbm,1,BOMBAY,0.039724530640870045,8.714323090049018e-05,0.00018605205456420607,3.411352829162137e-05,0.9998089780324737,3.793973840963603e-05,0.9973202026045056,0.0009848528140983406,0.9977011494252874,0.0008077337573865726
lightgbm,2,CALI,0.12897550323972537,0.00025299286298586534,0.010179855928688909,0.0003082207664761686,0.9866872382631694,0.0006241826883971016,0.9436046758617216,0.0030635108074411202,0.9453374233128834,0.002641917850260703
lightgbm,3,DERMASON,0.3269316057416155,0.00024294804777356938,0.029329896314015863,0.0001987801766076055,0.9576225112041732,0.0007213540641324618,0.9102270707762177,0.0019286141751317925,0.9289622109419063,0.0016087912660422198
lightgbm,4,HOROZ,0.15751689659821697,0.00014366389758736293,0.0096852474361024,0.0001255667274789594,0.9875615311145397,0.00034642741693740535,0.9592231531891502,0.0027504728647992738,0.9526970954356846,0.0010021698994599028
lightgbm,5,SEKER,0.16672215605509982,0.00021725095402436284,0.011109890810498974,0.00018370884666338996,0.9854676364705017,0.0003074445634947332,0.9534523263222932,0.002096539541765153,0.9487419832264431,0.002248172583474361
lightgbm,6,SIRA,0.20932752721674905,0.00020622358765493067,0.035033271889681264,0.0002426261756778569,0.9504518404231872,0.0008597348986350487,0.8752187631488733,0.0031206161032908382,0.8679059180576632,0.002344012465499942
logistic_regression,0,BARBUNYA,0.10039912313332226,9.496423851470059e-05,0.010673426308012421,0.00010565881089484886,0.9854970244655059,0.00027750526239493,0.9421992640086593,0.0012656364784437769,0.9062783661119516,0.0022396790712256648
logistic_regression,1,BOMBAY,0.039838738890309845,2.2007040397516743e-06,3.25503630146073e-05,7.556354966293224e-06,0.9999853060024979,3.0977666692828004e-05,1.0,0.0,0.9996168582375479,0.000807733757386554
logistic_regression,2,CALI,0.12806850430862854,3.8160695749543346e-05,0.011128050937114626,5.6808571728948834e-05,0.9852766145029754,0.00013939950011764628,0.9341075840009179,0.0009709481841842716,0.9436196319018405,0.0006100790957127228
logistic_regression,3,DERMASON,0.3247958102037217,7.62559675572457e-05,0.030453967689986178,5.847934614979265e-05,0.9582837410917641,0.0002516637538983491,0.922751766064612,0.0005986497266477766,0.9166102650874224,0.0005802331025385062
logistic_regression,4,HOROZ,0.15703817563279088,5.9786121501062195e-05,0.010122855317837373,6.430181785134588e-05,0.9870986701932261,0.00013939950011763007,0.9547448373741109,0.0010284072120877428,0.9541493775933609,0.0005575558608781849
logistic_regression,5,SEKER,0.16571864340266132,0.00012727097928814083,0.011765521677838255,8.993016534994062e-05,0.9845492616266256,0.0001834299053321946,0.9493455549427878,0.0009898115492887323,0.9467686235816478,0.0008205870711971547
logistic_regression,6,SIRA,0.20660116907044027,6.338935456850056e-05,0.03731580600750054,6.438372112830102e-05,0.9476085519065462,0.0003801080885301502,0.8560542740226309,0.00123389704713585,0.8769347496206373,0.0011889387226649605
xgboost,0,BARBUNYA,0.10118063059356049,0.00010050768464086034,0.009574235037418981,0.00015879713623217112,0.9873264271545074,0.0005608690270417785,0.9462111175500375,0.004046652720014144,0.9219364599092283,0.0028704487081710013
xgboost,1,BOMBAY,0.03979942028793842,3.0651647245405284e-05,0.00015297170173455613,6.0304369691793404e-05,0.9998163250312248,8.658521063679941e-05,0.9963693021762294,0.001084942702396894,0.9988505747126437,0.0013394749018775976
xgboost,2,CALI,0.12896180672499785,0.00014276740594041501,0.010227515777800827,0.00017969792954210888,0.9864815222981413,0.0004710744755876983,0.9412378201876092,0.0029344165184362362,0.9461963190184048,0.002184409029566737
xgboost,3,DERMASON,0.3274237447129974,0.00017700823685568454,0.029025446744613503,0.00013803573486580395,0.957468224230402,0.000651129995116261,0.90942730898554,0.0017286816101820767,0.9293006204173716,0.0015732457544144127
xgboost,4,HOROZ,0.15769147356048102,9.710003734960774e-05,0.009668516729819266,0.00010018422087352486,0.9875909191095438,0.00028654341690847627,0.9595132653224298,0.0015317890981597305,0.9525933609958507,0.0013657273622498134
xgboost,5,SEKER,0.16706912575750782,0.00012818742741895023,0.010819853163409726,0.00016902527903163675,0.9856586584380281,0.00044190702886939115,0.9548598786861024,0.0019474153961927926,0.9485446472619635,0.0019184657895859225
xgboost,6,SIRA,0.2098017561296941,0.00019669934520664338,0.03474938406363645,0.0001610571672005926,0.9503636764381749,0.0006902530416066289,0.8755881351279224,0.0021861638499801866,0.8668816388467375,0.0024808887795776365
