Methods,BARBUNYA,BOMBAY,CALI,DERMASON,HOROZ,SEKER,SIRA
Multi-IMV (LR),0.10±0.00,0.04±0.00,0.13±0.00,0.32±0.00,0.16±0.00,0.17±0.00,0.21±0.00
Brier Loss (LR),0.01±0.00,0.00±0.00,0.01±0.00,0.03±0.00,0.01±0.00,0.01±0.00,0.04±0.00
Accuracy (LR),98.55±0.03,100.00±0.00,98.53±0.01,95.83±0.03,98.71±0.01,98.45±0.02,94.76±0.04
Precision (LR),94.22±0.13,100.00±0.00,93.41±0.10,92.28±0.06,95.47±0.10,94.93±0.10,85.61±0.12
Recall (LR),90.63±0.22,99.96±0.08,94.36±0.06,91.66±0.06,95.41±0.06,94.68±0.08,87.69±0.12
Multi-IMV (XGB),0.10±0.00,0.04±0.00,0.13±0.00,0.33±0.00,0.16±0.00,0.17±0.00,0.21±0.00
Brier Loss (XGB),0.01±0.00,0.00±0.00,0.01±0.00,0.03±0.00,0.01±0.00,0.01±0.00,0.03±0.00
Accuracy (XGB),98.73±0.06,99.98±0.01,98.65±0.05,95.75±0.07,98.76±0.03,98.57±0.04,95.04±0.07
Precision (XGB),94.62±0.40,99.64±0.11,94.12±0.29,90.94±0.17,95.95±0.15,95.49±0.19,87.56±0.22
Recall (XGB),92.19±0.29,99.89±0.13,94.62±0.22,92.93±0.16,95.26±0.14,94.85±0.19,86.69±0.25
Multi-IMV (LGBM),0.10±0.00,0.04±0.00,0.13±0.00,0.33±0.00,0.16±0.00,0.17±0.00,0.21±0.00
Brier Loss (LGBM),0.01±0.00,0.00±0.00,0.01±0.00,0.03±0.00,0.01±0.00,0.01±0.00,0.04±0.00
Accuracy (LGBM),98.75±0.04,99.98±0.00,98.67±0.06,95.76±0.07,98.76±0.03,98.55±0.03,95.05±0.09
Precision (LGBM),94.60±0.21,99.73±0.10,94.36±0.31,91.02±0.19,95.92±0.28,95.35±0.21,87.52±0.31
Recall (LGBM),92.38±0.34,99.77±0.08,94.53±0.26,92.90±0.16,95.27±0.10,94.87±0.22,86.79±0.23
