example,dataset,model,class_i,class_j,class_i_name,class_j_name,pairwise_imv
multi_imv_car_evaluation,Car Evaluation,logistic_regression,0,0,unacc,unacc,0.0
multi_imv_car_evaluation,Car Evaluation,logistic_regression,0,1,unacc,acc,0.0782278648853386
multi_imv_car_evaluation,Car Evaluation,logistic_regression,0,2,unacc,good,0.0063550764193045
multi_imv_car_evaluation,Car Evaluation,logistic_regression,0,3,unacc,vgood,0.0362407073110476
multi_imv_car_evaluation,Car Evaluation,logistic_regression,1,0,acc,unacc,0.0782278648853386
multi_imv_car_evaluation,Car Evaluation,logistic_regression,1,1,acc,acc,0.0
multi_imv_car_evaluation,Car Evaluation,logistic_regression,1,2,acc,good,-0.0049681301763647
multi_imv_car_evaluation,Car Evaluation,logistic_regression,1,3,acc,vgood,0.0660066286511227
multi_imv_car_evaluation,Car Evaluation,logistic_regression,2,0,good,unacc,0.0063550764193045
multi_imv_car_evaluation,Car Evaluation,logistic_regression,2,1,good,acc,-0.0049681301763647
multi_imv_car_evaluation,Car Evaluation,logistic_regression,2,2,good,good,0.0
multi_imv_car_evaluation,Car Evaluation,logistic_regression,2,3,good,vgood,0.7987152138052924
multi_imv_car_evaluation,Car Evaluation,logistic_regression,3,0,vgood,unacc,0.0362407073110476
multi_imv_car_evaluation,Car Evaluation,logistic_regression,3,1,vgood,acc,0.0660066286511227
multi_imv_car_evaluation,Car Evaluation,logistic_regression,3,2,vgood,good,0.7987152138052929
multi_imv_car_evaluation,Car Evaluation,logistic_regression,3,3,vgood,vgood,0.0
multi_imv_car_evaluation,Car Evaluation,xgboost,0,0,unacc,unacc,0.0
multi_imv_car_evaluation,Car Evaluation,xgboost,0,1,unacc,acc,0.2944822462874457
multi_imv_car_evaluation,Car Evaluation,xgboost,0,2,unacc,good,0.0551050306625308
multi_imv_car_evaluation,Car Evaluation,xgboost,0,3,unacc,vgood,0.053450181061651
multi_imv_car_evaluation,Car Evaluation,xgboost,1,0,acc,unacc,0.2944822457380871
multi_imv_car_evaluation,Car Evaluation,xgboost,1,1,acc,acc,0.0
multi_imv_car_evaluation,Car Evaluation,xgboost,1,2,acc,good,0.1469505788404679
multi_imv_car_evaluation,Car Evaluation,xgboost,1,3,acc,vgood,0.1556988204312887
multi_imv_car_evaluation,Car Evaluation,xgboost,2,0,good,unacc,0.0551050307954091
multi_imv_car_evaluation,Car Evaluation,xgboost,2,1,good,acc,0.1469505776949752
multi_imv_car_evaluation,Car Evaluation,xgboost,2,2,good,good,0.0
multi_imv_car_evaluation,Car Evaluation,xgboost,2,3,good,vgood,0.9020211384988608
multi_imv_car_evaluation,Car Evaluation,xgboost,3,0,vgood,unacc,0.0534501809729314
multi_imv_car_evaluation,Car Evaluation,xgboost,3,1,vgood,acc,0.1556988205137048
multi_imv_car_evaluation,Car Evaluation,xgboost,3,2,vgood,good,0.902021131892734
multi_imv_car_evaluation,Car Evaluation,xgboost,3,3,vgood,vgood,0.0
multi_imv_car_evaluation,Car Evaluation,lightgbm,0,0,unacc,unacc,0.0
multi_imv_car_evaluation,Car Evaluation,lightgbm,0,1,unacc,acc,0.3052575057622484
multi_imv_car_evaluation,Car Evaluation,lightgbm,0,2,unacc,good,0.0560660763313862
multi_imv_car_evaluation,Car Evaluation,lightgbm,0,3,unacc,vgood,0.0536674438045822
multi_imv_car_evaluation,Car Evaluation,lightgbm,1,0,acc,unacc,0.3052575057622484
multi_imv_car_evaluation,Car Evaluation,lightgbm,1,1,acc,acc,0.0
multi_imv_car_evaluation,Car Evaluation,lightgbm,1,2,acc,good,0.1613814310160189
multi_imv_car_evaluation,Car Evaluation,lightgbm,1,3,acc,vgood,0.1636362684609485
multi_imv_car_evaluation,Car Evaluation,lightgbm,2,0,good,unacc,0.0560660763313862
multi_imv_car_evaluation,Car Evaluation,lightgbm,2,1,good,acc,0.1613814310160189
multi_imv_car_evaluation,Car Evaluation,lightgbm,2,2,good,good,0.0
multi_imv_car_evaluation,Car Evaluation,lightgbm,2,3,good,vgood,0.9224212747563948
multi_imv_car_evaluation,Car Evaluation,lightgbm,3,0,vgood,unacc,0.0536674438045822
multi_imv_car_evaluation,Car Evaluation,lightgbm,3,1,vgood,acc,0.1636362684609485
multi_imv_car_evaluation,Car Evaluation,lightgbm,3,2,vgood,good,0.9224212747563942
multi_imv_car_evaluation,Car Evaluation,lightgbm,3,3,vgood,vgood,0.0
multi_imv_dry_bean,Dry Bean,logistic_regression,0,0,BARBUNYA,BARBUNYA,0.0
multi_imv_dry_bean,Dry Bean,logistic_regression,0,1,BARBUNYA,BOMBAY,0.3946614396957701
multi_imv_dry_bean,Dry Bean,logistic_regression,0,2,BARBUNYA,CALI,0.766453064493284
multi_imv_dry_bean,Dry Bean,logistic_regression,0,3,BARBUNYA,DERMASON,0.3718206979001073
multi_imv_dry_bean,Dry Bean,logistic_regression,0,4,BARBUNYA,HOROZ,0.6791104340914169
multi_imv_dry_bean,Dry Bean,logistic_regression,0,5,BARBUNYA,SEKER,0.6398525778422804
