Methods,not_recom,priority,spec_prior
Multi-IMV (LR),0.52±0.00,0.31±0.00,0.28±0.00
Brier Loss (LR),0.00±0.00,0.13±0.00,0.13±0.00
Accuracy (LR),100.00±0.00,78.75±0.05,78.75±0.05
Precision (LR),100.00±0.00,68.20±0.07,67.16±0.10
Recall (LR),100.00±0.00,69.48±0.12,65.82±0.10
Multi-IMV (XGB),0.52±0.00,0.49±0.00,0.45±0.00
Brier Loss (XGB),0.00±0.00,0.02±0.00,0.02±0.00
Accuracy (XGB),100.00±0.00,99.40±0.05,99.40±0.05
Precision (XGB),100.00±0.00,99.92±0.03,98.24±0.16
Recall (XGB),100.00±0.00,98.31±0.15,99.92±0.03
Multi-IMV (LGBM),0.52±0.00,0.49±0.00,0.46±0.00
Brier Loss (LGBM),0.00±0.00,0.01±0.00,0.01±0.00
Accuracy (LGBM),100.00±0.00,99.76±0.06,99.76±0.06
Precision (LGBM),100.00±0.00,99.98±0.03,99.29±0.17
Recall (LGBM),100.00±0.00,99.32±0.17,99.98±0.03
