example,dataset,model,method,k,selected_features,dropped_features,importance,accuracy_mean,accuracy_std_across_seeds,precision_mean,precision_std_across_seeds,n_seeds,n_splits
shap_imv_breast_cancer,Breast Cancer,logistic_regression,shap_imv,5,radius1;compactness1;texture1;smoothness1;symmetry1,fractal_dimension1,0.2172;0.1307;0.0696;0.0504;0.0331,0.9274154135338345,0.001219298352939505,0.923669059091848,0.003963374593290168,10,10
shap_imv_breast_cancer,Breast Cancer,logistic_regression,shap,5,radius1;texture1;smoothness1;compactness1;symmetry1,fractal_dimension1,2.64789;1.04385;0.892017;0.835121;0.388452,0.9274154135338345,0.001219298352939505,0.923669059091848,0.003963374593290168,10,10
shap_imv_breast_cancer,Breast Cancer,logistic_regression,lime,5,radius1;texture1;smoothness1;compactness1;symmetry1,fractal_dimension1,0.351003;0.124389;0.103671;0.100234;0.0461338,0.9274154135338345,0.001219298352939505,0.923669059091848,0.003963374593290168,10,10
shap_imv_breast_cancer,Breast Cancer,logistic_regression,anchors,5,radius1;compactness1;texture1;smoothness1;symmetry1,fractal_dimension1,0.996976;0.546364;0.26865;0.201465;0.0671466,0.9274154135338345,0.001219298352939505,0.923669059091848,0.003963374593290168,10,10
shap_imv_breast_cancer,Breast Cancer,xgboost,shap_imv,5,radius1;compactness1;texture1;smoothness1;symmetry1,fractal_dimension1,0.2309;0.132;0.0769;0.0466;0.0214,0.9348057644110274,0.005559872318666413,0.9309130450848414,0.0043825062752176945,10,10
shap_imv_breast_cancer,Breast Cancer,xgboost,shap,5,radius1;texture1;smoothness1;compactness1;symmetry1,fractal_dimension1,2.74271;1.24315;0.872355;0.829829;0.491785,0.9348057644110274,0.005559872318666413,0.9309130450848414,0.0043825062752176945,10,10
shap_imv_breast_cancer,Breast Cancer,xgboost,lime,5,radius1;texture1;compactness1;smoothness1;symmetry1,fractal_dimension1,0.338914;0.135218;0.100008;0.0854615;0.0435769,0.9348057644110274,0.005559872318666413,0.9309130450848414,0.0043825062752176945,10,10
shap_imv_breast_cancer,Breast Cancer,xgboost,anchors,5,radius1;compactness1;texture1;smoothness1;symmetry1,fractal_dimension1,0.972983;0.47821;0.383988;0.307724;0.0771515,0.9348057644110274,0.005559872318666413,0.9309130450848414,0.0043825062752176945,10,10
shap_imv_breast_cancer,Breast Cancer,lightgbm,shap_imv,5,radius1;compactness1;texture1;smoothness1;fractal_dimension1,symmetry1,0.229;0.1271;0.0744;0.0462;0.0228,0.9268859649122807,0.002776552640926936,0.9216947134168832,0.006280825718849285,10,10
shap_imv_breast_cancer,Breast Cancer,lightgbm,shap,5,radius1;texture1;smoothness1;compactness1;symmetry1,fractal_dimension1,3.42922;1.31725;1.09331;0.889594;0.581212,0.9326911027568922,0.0033115037855431626,0.9287815646554877,0.005115373107643747,10,10
shap_imv_breast_cancer,Breast Cancer,lightgbm,lime,5,radius1;texture1;smoothness1;compactness1;symmetry1,fractal_dimension1,0.364258;0.125267;0.0825076;0.0736751;0.048139,0.9326911027568922,0.0033115037855431626,0.9287815646554877,0.005115373107643747,10,10
shap_imv_breast_cancer,Breast Cancer,lightgbm,anchors,5,radius1;texture1;compactness1;smoothness1;symmetry1,fractal_dimension1,0.984;0.402989;0.328812;0.245568;0.0530916,0.9326911027568922,0.0033115037855431626,0.9287815646554877,0.005115373107643747,10,10
