example,dataset,model,rank,feature,shap_imv_mean,shap_imv_std
shap_imv_titanic,Titanic,lightgbm,1,Title,0.1179,0.0015951314818673
shap_imv_titanic,Titanic,lightgbm,2,Sex,0.1072,0.001873795909674
shap_imv_titanic,Titanic,lightgbm,3,Fare,0.0562999999999999,0.0055186552307202
shap_imv_titanic,Titanic,lightgbm,4,Class,0.0495,0.0014337208778404
shap_imv_titanic,Titanic,lightgbm,5,AgeClass,0.0237999999999999,0.003994440581052
shap_imv_titanic,Titanic,lightgbm,6,Embarked,0.0132,0.0019888578520235
shap_imv_titanic,Titanic,logistic_regression,1,Sex,0.1515,0.0020682789409984
shap_imv_titanic,Titanic,logistic_regression,2,Title,0.069,0.0024037008503093
shap_imv_titanic,Titanic,logistic_regression,3,Class,0.0409,0.0011005049346146
shap_imv_titanic,Titanic,logistic_regression,4,AgeClass,0.0387,0.0015670212364724
shap_imv_titanic,Titanic,logistic_regression,5,Fare,0.02,0.0010540925533894
shap_imv_titanic,Titanic,logistic_regression,6,Embarked,0.0134,0.0009660917830792
shap_imv_titanic,Titanic,xgboost,1,Title,0.1177,0.0016363916944844
shap_imv_titanic,Titanic,xgboost,2,Sex,0.1076,0.0017763883459298
shap_imv_titanic,Titanic,xgboost,3,Fare,0.0631,0.0052799410771122
shap_imv_titanic,Titanic,xgboost,4,Class,0.0487,0.0012516655570345
shap_imv_titanic,Titanic,xgboost,5,AgeClass,0.02,0.0041899350299921
shap_imv_titanic,Titanic,xgboost,6,Embarked,0.0136,0.0013498971154211
shap_imv_breast_cancer,Breast Cancer,lightgbm,1,radius1,0.229,0.0071024252508875
shap_imv_breast_cancer,Breast Cancer,lightgbm,2,compactness1,0.1271,0.0062618776026932
shap_imv_breast_cancer,Breast Cancer,lightgbm,3,texture1,0.0744,0.0058916136254095
shap_imv_breast_cancer,Breast Cancer,lightgbm,4,smoothness1,0.0462,0.0048944412914607
shap_imv_breast_cancer,Breast Cancer,lightgbm,5,fractal_dimension1,0.0228,0.0079134203870527
shap_imv_breast_cancer,Breast Cancer,lightgbm,6,symmetry1,0.0195,0.0084360338232291
shap_imv_breast_cancer,Breast Cancer,logistic_regression,1,radius1,0.2172,0.0028982753492378
shap_imv_breast_cancer,Breast Cancer,logistic_regression,2,compactness1,0.1306999999999999,0.0017029386365926
shap_imv_breast_cancer,Breast Cancer,logistic_regression,3,texture1,0.0696,0.0027968235951204
shap_imv_breast_cancer,Breast Cancer,logistic_regression,4,smoothness1,0.0504,0.0010749676997731
shap_imv_breast_cancer,Breast Cancer,logistic_regression,5,symmetry1,0.0331,0.0026436506745197
shap_imv_breast_cancer,Breast Cancer,logistic_regression,6,fractal_dimension1,0.0284,0.0018378731669453
shap_imv_breast_cancer,Breast Cancer,xgboost,1,radius1,0.2309,0.006332456079595
shap_imv_breast_cancer,Breast Cancer,xgboost,2,compactness1,0.132,0.004618802153517
shap_imv_breast_cancer,Breast Cancer,xgboost,3,texture1,0.0769,0.0062795965900154
shap_imv_breast_cancer,Breast Cancer,xgboost,4,smoothness1,0.0465999999999999,0.0061860057118197
shap_imv_breast_cancer,Breast Cancer,xgboost,5,symmetry1,0.0214,0.0075748120622083
shap_imv_breast_cancer,Breast Cancer,xgboost,6,fractal_dimension1,0.0152,0.0077860273710167
shap_imv_adult_income,Adult Income,lightgbm,1,married,0.053,0.0
shap_imv_adult_income,Adult Income,lightgbm,2,capital-gain,0.047,0.0
shap_imv_adult_income,Adult Income,lightgbm,3,education-num,0.037,0.0
shap_imv_adult_income,Adult Income,lightgbm,4,age,0.029,0.0
shap_imv_adult_income,Adult Income,lightgbm,5,hours-per-week,0.016,0.0
shap_imv_adult_income,Adult Income,lightgbm,6,sex_female,0.01,0.0
shap_imv_adult_income,Adult Income,logistic_regression,1,married,0.061,0.0
shap_imv_adult_income,Adult Income,logistic_regression,2,education-num,0.042,0.0
shap_imv_adult_income,Adult Income,logistic_regression,3,capital-gain,0.032,0.0
shap_imv_adult_income,Adult Income,logistic_regression,4,age,0.013,0.0
shap_imv_adult_income,Adult Income,logistic_regression,5,hours-per-week,0.013,0.0
shap_imv_adult_income,Adult Income,logistic_regression,6,sex_female,0.01,0.0
shap_imv_adult_income,Adult Income,xgboost,1,married,0.053,0.0
shap_imv_adult_income,Adult Income,xgboost,2,capital-gain,0.0465999999999999,0.0005163977794943
shap_imv_adult_income,Adult Income,xgboost,3,education-num,0.037,0.0
shap_imv_adult_income,Adult Income,xgboost,4,age,0.029,0.0
shap_imv_adult_income,Adult Income,xgboost,5,hours-per-week,0.016,0.0
shap_imv_adult_income,Adult Income,xgboost,6,sex_female,0.01,0.0
