example,dataset,model,method,k,selected_features,dropped_features,importance,accuracy_mean,accuracy_std_across_seeds,precision_mean,precision_std_across_seeds,n_seeds,n_splits
shap_imv_titanic,Titanic,logistic_regression,shap_imv,5,Sex;Title;Class;AgeClass;Fare,Embarked;Alone;Age,0.1466;0.0649;0.0414;0.0352;0.0185,0.7950311215502055,0.0013009807133653,0.7435873239952554,0.0016886976788938,10,10
shap_imv_titanic,Titanic,logistic_regression,shap,5,Sex;Class;Title;Age;Embarked,Alone;AgeClass;Fare,0.996935;0.816657;0.325482;0.319114;0.239522,0.797399882560188,0.0021808924094819,0.7394878046489599,0.003294094093313,10,10
shap_imv_titanic,Titanic,logistic_regression,lime,5,Sex;Class;Embarked;Age;Title,Alone;AgeClass;Fare,0.410324;0.284266;0.0872177;0.0796195;0.064379,0.797399882560188,0.0021808924094819,0.7394878046489599,0.003294094093313,10,10
shap_imv_titanic,Titanic,logistic_regression,anchors,5,Sex;AgeClass;Class;Title;Fare,Embarked;Age;Alone,0.953924;0.510316;0.221696;0.209543;0.10525,0.7950311215502055,0.0013009807133653,0.7435873239952554,0.0016886976788938,10,10
shap_imv_titanic,Titanic,xgboost,shap_imv,5,Title;Sex;Fare;Class;AgeClass,Embarked;Alone;Age,0.1129;0.1048;0.0598;0.0454;0.0224,0.8088637698179681,0.0028700872098133,0.7874508320019322,0.0073337232739239,10,10
shap_imv_titanic,Titanic,xgboost,shap,5,Title;Sex;Class;AgeClass;Fare,Embarked;Age;Alone,0.812401;0.520123;0.505611;0.381507;0.316617,0.8088637698179681,0.0028700872098133,0.7874508320019322,0.0073337232739239,10,10
shap_imv_titanic,Titanic,xgboost,lime,5,Title;Class;Sex;Embarked;AgeClass,Fare;Age;Alone,0.253727;0.194053;0.181592;0.132734;0.0990135,0.8043517322372282,0.0048114962262816,0.804690522260765,0.0101164238664961,10,10
shap_imv_titanic,Titanic,xgboost,anchors,5,Title;AgeClass;Sex;Class;Fare,Embarked;Age;Alone,0.921819;0.476207;0.452029;0.374246;0.230489,0.8088637698179681,0.0028700872098133,0.7874508320019322,0.0073337232739239,10,10
shap_imv_titanic,Titanic,lightgbm,shap_imv,5,Title;Sex;Fare;Class;AgeClass,Embarked;Alone;Age,0.1127;0.1043;0.0531;0.0458;0.0248,0.8100029359953024,0.0033455259585974,0.7947711783180111,0.0056851819626441,10,10
shap_imv_titanic,Titanic,lightgbm,shap,5,Title;Sex;Class;AgeClass;Fare,Embarked;Age;Alone,0.800276;0.587219;0.529005;0.418459;0.366259,0.8100029359953024,0.0033455259585974,0.7947711783180111,0.0056851819626441,10,10
shap_imv_titanic,Titanic,lightgbm,lime,5,Title;Class;Sex;AgeClass;Embarked,Fare;Age;Alone,0.235214;0.184797;0.180393;0.1045;0.0737664,0.8001520845566646,0.0031572184526578,0.7934271240402931,0.0071359843091497,10,10
shap_imv_titanic,Titanic,lightgbm,anchors,5,Title;Sex;Fare;Class;AgeClass,Embarked;Alone;Age,0.921724;0.438971;0.435985;0.41738;0.358883,0.8100029359953024,0.0033455259585974,0.7947711783180111,0.0056851819626441,10,10
shap_imv_breast_cancer,Breast Cancer,logistic_regression,shap_imv,5,concave_points1;radius1;concavity1;compactness1;texture1,smoothness1;symmetry1;fractal_dimension1,0.1287;0.1238;0.0963;0.072;0.0504,0.9391791979949876,0.0022229719340117,0.9426739542707032,0.0054192654265965,10,10
shap_imv_breast_cancer,Breast Cancer,logistic_regression,shap,5,radius1;concave_points1;texture1;concavity1;smoothness1,fractal_dimension1;symmetry1;compactness1,1.88743;1.46847;1.0559;0.848723;0.692302,0.9409555137844612,0.0022206086008079,0.9445719947780788,0.0051766476400576,10,10
shap_imv_breast_cancer,Breast Cancer,logistic_regression,lime,5,radius1;concave_points1;texture1;concavity1;smoothness1,fractal_dimension1;symmetry1;compactness1,0.258245;0.192076;0.139556;0.109226;0.0890851,0.9409555137844612,0.0022206086008079,0.9445719947780788,0.0051766476400576,10,10
shap_imv_breast_cancer,Breast Cancer,logistic_regression,anchors,5,radius1;concave_points1;concavity1;texture1;compactness1,smoothness1;fractal_dimension1;symmetry1,0.837899;0.6926;0.359084;0.0992899;0.0912652,0.9391791979949876,0.0022229719340117,0.9426739542707032,0.0054192654265965,10,10
shap_imv_breast_cancer,Breast Cancer,xgboost,shap_imv,5,concave_points1;radius1;concavity1;compactness1;texture1,smoothness1;symmetry1;fractal_dimension1,0.1287;0.1276;0.1152;0.071;0.0513,0.9354887218045111,0.0039694574528211,0.9259957040162988,0.0059579173794614,10,10
shap_imv_breast_cancer,Breast Cancer,xgboost,shap,5,concave_points1;radius1;texture1;concavity1;smoothness1,compactness1;symmetry1;fractal_dimension1,2.06697;1.54852;1.1226;1.08878;0.575756,0.9412938596491228,0.0047950516914084,0.9297878357153828,0.0088306521082229,10,10
shap_imv_breast_cancer,Breast Cancer,xgboost,lime,5,radius1;concave_points1;texture1;concavity1;compactness1,smoothness1;fractal_dimension1;symmetry1,0.218416;0.178573;0.169481;0.112229;0.0565095,0.9354887218045111,0.0039694574528211,0.9259957040162988,0.0059579173794614,10,10
