n_total,n_test,repeat,calls,elapsed_seconds,per_call_ms,calibration_seconds
1000,300,1,5000,0.3874964079586789,0.07749928159173577,0.38955697405617684
1000,300,2,5000,0.38599377509672195,0.0771987550193444,0.38955697405617684
1000,300,3,5000,0.3860277619678527,0.07720555239357055,0.38955697405617684
1000,300,4,5000,0.3876509190304205,0.07753018380608409,0.38955697405617684
1000,300,5,5000,0.4276005260180682,0.08552010520361364,0.38955697405617684
1000,300,6,5000,0.41567233798559755,0.08313446759711951,0.38955697405617684
1000,300,7,5000,0.39024397102184594,0.07804879420436919,0.38955697405617684
1000,300,8,5000,0.3987015120219439,0.07974030240438879,0.38955697405617684
1000,300,9,5000,0.39817966101691127,0.07963593220338225,0.38955697405617684
10000,3000,1,2000,0.24754820705857128,0.12377410352928564,0.2484316099435091
10000,3000,2,2000,0.24813753901980817,0.12406876950990409,0.2484316099435091
10000,3000,3,2000,0.24807578406762332,0.12403789203381166,0.2484316099435091
10000,3000,4,2000,0.2495795750292018,0.1247897875146009,0.2484316099435091
10000,3000,5,2000,0.2477479139342904,0.1238739569671452,0.2484316099435091
10000,3000,6,2000,0.24911174504086375,0.12455587252043188,0.2484316099435091
10000,3000,7,2000,0.24902859004214406,0.12451429502107203,0.2484316099435091
10000,3000,8,2000,0.2487606960348785,0.12438034801743925,0.2484316099435091
10000,3000,9,2000,0.24839229800272733,0.12419614900136366,0.2484316099435091
100000,30000,1,500,0.35502181004267186,0.7100436200853437,0.3593861880945042
100000,30000,2,500,0.35953002597671,0.71906005195342,0.3593861880945042
100000,30000,3,500,0.35778101603500545,0.7155620320700109,0.3593861880945042
100000,30000,4,500,0.3633877270622179,0.7267754541244358,0.3593861880945042
100000,30000,5,500,0.36497556895483285,0.7299511379096657,0.3593861880945042
100000,30000,6,500,0.3646745759760961,0.7293491519521922,0.3593861880945042
100000,30000,7,500,0.35969526204280555,0.7193905240856111,0.3593861880945042
100000,30000,8,500,0.3582190170418471,0.7164380340836942,0.3593861880945042
100000,30000,9,500,0.3592274800175801,0.7184549600351602,0.3593861880945042
1000000,300000,1,50,0.3535682820947841,7.071365641895682,0.3484558679629117
1000000,300000,2,50,0.34702834801282734,6.940566960256547,0.3484558679629117
1000000,300000,3,50,0.34704402601346374,6.940880520269275,0.3484558679629117
1000000,300000,4,50,0.34934796090237796,6.986959218047559,0.3484558679629117
1000000,300000,5,50,0.37253458192572,7.4506916385143995,0.3484558679629117
1000000,300000,6,50,0.36301386693958193,7.260277338791639,0.3484558679629117
1000000,300000,7,50,0.3643804680323228,7.2876093606464565,0.3484558679629117
1000000,300000,8,50,0.3448321579489857,6.896643158979714,0.3484558679629117
1000000,300000,9,50,0.34746250603348017,6.949250120669603,0.3484558679629117
